	key	final_y_pred	model_correct	fold	mouse_id	diet	vendor	high_fiber	chow_highFiber	bloom_status	model
370	charles_river	charles_river	1	f3	34	4	0	1	1	0	perceptron
371	taconic	taconic	1	f3	35	0	0	0	0	1	perceptron
372	taconic	taconic	1	f3	36	4	1	1	1	1	perceptron
373	taconic	taconic	1	f3	37	1	1	1	1	0	perceptron
374	taconic	taconic	1	f3	38	2	1	0	1	1	perceptron
375	charles_river	charles_river	1	f4	39	3	1	0	0	1	perceptron
376	taconic	taconic	1	f4	40	2	0	0	1	0	perceptron
377	charles_river	charles_river	1	f4	41	3	1	0	0	1	perceptron
378	taconic	taconic	1	f4	42	3	0	0	0	1	perceptron
379	taconic	taconic	1	f4	43	4	1	1	1	0	perceptron
380	charles_river	charles_river	1	f4	44	0	1	0	0	1	perceptron
381	charles_river	charles_river	1	f4	45	1	1	1	1	0	perceptron
382	charles_river	charles_river	1	f4	46	1	0	1	1	0	perceptron
383	charles_river	charles_river	1	f4	47	2	0	0	1	0	perceptron
